"('pid',)","('primaryName',)","('birthYear',)","('deathYear',)"
nm0000002,Lauren Bacall,1924,2014
nm0000004,John Belushi,1949,1982
nm0000005,Ingmar Bergman,1918,2007
nm0000006,Ingrid Bergman,1915,1982
nm0000007,Humphrey Bogart,1899,1957
nm0000008,Marlon Brando,1924,2004
nm0000011,Gary Cooper,1901,1961
nm0000012,Bette Davis,1908,1989
nm0000016,Georges Delerue,1925,1992
nm0000017,Marlene Dietrich,1901,1992
nm0000018,Kirk Douglas,1916,2020
nm0000019,Federico Fellini,1920,1993
nm0000020,Henry Fonda,1905,1982
nm0000021,Joan Fontaine,1917,2013
nm0000022,Clark Gable,1901,1960
nm0000023,Judy Garland,1922,1969
nm0000024,John Gielgud,1904,2000
nm0000025,Jerry Goldsmith,1929,2004
nm0000026,Cary Grant,1904,1986
nm0000027,Alec Guinness,1914,2000
nm0000030,Audrey Hepburn,1929,1993
nm0000032,Charlton Heston,1923,2008
nm0000033,Alfred Hitchcock,1899,1980
nm0000034,William Holden,1918,1981
nm0000035,James Horner,1953,2015
nm0000037,Gene Kelly,1912,1996
nm0000038,Grace Kelly,1929,1982
nm0000040,Stanley Kubrick,1928,1999
nm0000041,Akira Kurosawa,1910,1998
nm0000045,Bruce Lee,1940,1973
nm0000046,Vivien Leigh,1913,1967
nm0000048,Peter Lorre,1904,1964
nm0000049,Henry Mancini,1924,1994
nm0000051,James Mason,1909,1984
nm0000052,Marcello Mastroianni,1924,1996
nm0000054,Marilyn Monroe,1926,1962
nm0000055,Alfred Newman,1900,1970
nm0000056,Paul Newman,1925,2008
nm0000059,Laurence Olivier,1907,1989
nm0000060,Gregory Peck,1916,2003
nm0000061,Tyrone Power,1914,1958
nm0000063,Anthony Quinn,1915,2001
nm0000064,Edward G. Robinson,1893,1973
nm0000065,Nino Rota,1911,1979
nm0000067,Miklós Rózsa,1907,1995
nm0000070,Max Steiner,1888,1971
nm0000071,James Stewart,1908,1997
nm0000076,François Truffaut,1932,1984
nm0000077,Franz Waxman,1906,1967
nm0000080,Orson Welles,1915,1985
nm0000081,Natalie Wood,1938,1981
nm0000084,Gong Li,1965,
nm0000090,Armin Mueller-Stahl,1930,
nm0000092,John Cleese,1939,
nm0000093,Brad Pitt,1963,
nm0000095,Woody Allen,1935,
nm0000096,Gillian Anderson,1968,
nm0000097,Pamela Anderson,1967,
nm0000098,Jennifer Aniston,1969,
nm0000099,Patricia Arquette,1968,
nm0000100,Rowan Atkinson,1955,
nm0000101,Dan Aykroyd,1952,
nm0000102,Kevin Bacon,1958,
nm0000103,Fairuza Balk,1974,
nm0000104,Antonio Banderas,1960,
nm0000106,Drew Barrymore,1975,
nm0000107,Kim Basinger,1953,
nm0000108,Luc Besson,1959,
nm0000110,Kenneth Branagh,1960,
nm0000111,Matthew Broderick,1962,
nm0000112,Pierce Brosnan,1953,
nm0000113,Sandra Bullock,1964,
nm0000114,Steve Buscemi,1957,
nm0000115,Nicolas Cage,1964,
nm0000116,James Cameron,1954,
nm0000117,Neve Campbell,1973,
nm0000118,John Carpenter,1948,
nm0000119,Tia Carrere,1967,
nm0000120,Jim Carrey,1962,
nm0000121,Phoebe Cates,1963,
nm0000122,Charles Chaplin,1889,1977
nm0000123,George Clooney,1961,
nm0000124,Jennifer Connelly,1970,
nm0000125,Sean Connery,1930,2020
nm0000126,Kevin Costner,1955,
nm0000127,Wes Craven,1939,2015
nm0000128,Russell Crowe,1964,
nm0000129,Tom Cruise,1962,
nm0000130,Jamie Lee Curtis,1958,
nm0000131,John Cusack,1966,
nm0000132,Claire Danes,1979,
nm0000133,Geena Davis,1956,
nm0000134,Robert De Niro,1943,
nm0000136,Johnny Depp,1963,
nm0000138,Leonardo DiCaprio,1974,
nm0000139,Cameron Diaz,1972,
nm0000140,Michael Douglas,1944,
nm0000141,David Duchovny,1960,
nm0000142,Clint Eastwood,1930,
nm0000144,Cary Elwes,1962,
nm0000146,Ralph Fiennes,1962,
nm0000147,Colin Firth,1960,
nm0000148,Harrison Ford,1942,
nm0000149,Jodie Foster,1962,
nm0000150,Michael J. Fox,1961,
nm0000151,Morgan Freeman,1937,
nm0000152,Richard Gere,1949,
nm0000154,Mel Gibson,1956,
nm0000155,Whoopi Goldberg,1955,
nm0000156,Jeff Goldblum,1952,
nm0000157,Linda Hamilton,1956,
nm0000158,Tom Hanks,1956,
nm0000159,Teri Hatcher,1964,
nm0000160,Ethan Hawke,1970,
nm0000161,Salma Hayek,1966,
nm0000162,Anne Heche,1969,
nm0000163,Dustin Hoffman,1937,
nm0000164,Anthony Hopkins,1937,
nm0000165,Ron Howard,1954,
nm0000166,Helen Hunt,1963,
nm0000167,Elizabeth Hurley,1965,
nm0000168,Samuel L. Jackson,1948,
nm0000169,Tommy Lee Jones,1946,
nm0000170,Milla Jovovich,1975,
nm0000172,Harvey Keitel,1939,
nm0000173,Nicole Kidman,1967,
nm0000174,Val Kilmer,1959,
nm0000175,Stephen King,1947,
nm0000176,Nastassja Kinski,1961,
nm0000177,Kevin Kline,1947,
nm0000178,Diane Lane,1965,
nm0000179,Jude Law,1972,
nm0000180,David Lean,1908,1991
nm0000182,Jennifer Lopez,1969,
nm0000184,George Lucas,1944,
nm0000185,Dolph Lundgren,1957,
nm0000186,David Lynch,1946,
nm0000187,Madonna,1958,
nm0000188,Steve Martin,1945,
nm0000190,Matthew McConaughey,1969,
nm0000191,Ewan McGregor,1971,
nm0000193,Demi Moore,1962,
nm0000194,Julianne Moore,1960,
nm0000195,Bill Murray,1950,
nm0000196,Mike Myers,1963,
nm0000197,Jack Nicholson,1937,
nm0000198,Gary Oldman,1958,
nm0000199,Al Pacino,1940,
nm0000200,Bill Paxton,1955,2017
nm0000201,Michelle Pfeiffer,1958,
nm0000202,Ryan Phillippe,1974,
nm0000203,River Phoenix,1970,1993
nm0000204,Natalie Portman,1981,
nm0000205,Parker Posey,1968,
nm0000206,Keanu Reeves,1964,
nm0000207,Christina Ricci,1980,
nm0000208,Molly Ringwald,1968,
nm0000209,Tim Robbins,1958,
nm0000210,Julia Roberts,1967,
nm0000211,Mimi Rogers,1955,
nm0000212,Meg Ryan,1961,
nm0000213,Winona Ryder,1971,
nm0000214,Mia Sara,1967,
nm0000215,Susan Sarandon,1946,
nm0000216,Arnold Schwarzenegger,1947,
nm0000217,Martin Scorsese,1942,
nm0000218,Kristin Scott Thomas,1960,
nm0000221,Charlie Sheen,1965,
nm0000223,Elisabeth Shue,1963,
nm0000224,Alicia Silverstone,1976,
nm0000225,Christian Slater,1969,
nm0000226,Will Smith,1968,
nm0000228,Kevin Spacey,1959,
nm0000229,Steven Spielberg,1946,
nm0000230,Sylvester Stallone,1946,
nm0000231,Oliver Stone,1946,
nm0000232,Sharon Stone,1958,
nm0000233,Quentin Tarantino,1963,
nm0000234,Charlize Theron,1975,
nm0000235,Uma Thurman,1970,
nm0000236,Jennifer Tilly,1958,
nm0000237,John Travolta,1954,
nm0000239,Liv Tyler,1977,
nm0000240,Skeet Ulrich,1970,
nm0000241,Jean-Claude Van Damme,1960,
nm0000242,Mark Wahlberg,1971,
nm0000243,Denzel Washington,1954,
nm0000244,Sigourney Weaver,1949,
nm0000245,Robin Williams,1951,2014
nm0000246,Bruce Willis,1955,
nm0000247,John Woo,1946,
nm0000249,James Woods,1947,
nm0000250,Renée Zellweger,1969,
nm0000251,Timothy Dowling,1973,
nm0000255,Ben Affleck,1972,
nm0000256,Jenny Agutter,1952,
nm0000257,Alan Alda,1936,
nm0000260,Joan Allen,1956,
nm0000261,Karen Allen,1951,
nm0000262,Nancy Allen,1950,
nm0000264,Pedro Almodóvar,1949,
nm0000266,Ursula Andress,1936,
nm0000267,Julie Andrews,1935,
nm0000269,Jean-Jacques Annaud,1943,
nm0000270,Gabrielle Anwar,1970,
nm0000271,Anne Archer,1947,
nm0000273,Alan Arkin,1934,
nm0000274,David Arquette,1971,
nm0000275,Rosanna Arquette,1959,
nm0000276,Sean Astin,1971,
nm0000277,Richard Attenborough,1923,2014
nm0000279,Hank Azaria,1964,
nm0000284,Adam Baldwin,1962,
nm0000285,Alec Baldwin,1958,
nm0000286,Stephen Baldwin,1966,
nm0000288,Christian Bale,1974,
nm0000290,John Barry,1933,2011
nm0000291,Angela Bassett,1958,
nm0000293,Sean Bean,1959,
nm0000295,Kate Beckinsale,1973,
nm0000297,Tom Berenger,1949,
nm0000298,Candice Bergen,1946,
nm0000299,Michael Biehn,1956,
nm0000300,Juliette Binoche,1964,
nm0000301,Thora Birch,1982,
nm0000303,Honor Blackman,1925,2020
nm0000304,Linda Blair,1959,
nm0000305,Mel Blanc,1908,1989
nm0000306,Brian Blessed,1936,
nm0000307,Helena Bonham Carter,1966,
nm0000308,Ernest Borgnine,1917,2012
nm0000309,David Bowie,1947,2016
nm0000310,Bruce Boxleitner,1950,
nm0000313,Jeff Bridges,1949,
nm0000314,Charles Bronson,1921,2003
nm0000316,Mel Brooks,1926,
nm0000317,Clancy Brown,1959,
nm0000318,Tim Burton,1958,
nm0000321,Gabriel Byrne,1950,
nm0000322,Emmanuelle Béart,1963,
nm0000323,Michael Caine,1933,
nm0000326,Kim Cattrall,1956,
nm0000329,Jackie Chan,1954,
nm0000330,Stockard Channing,1944,
nm0000331,Chevy Chase,1943,
nm0000332,Don Cheadle,1964,
nm0000334,Chow Yun-Fat,1955,
nm0000335,Glenn Close,1947,
nm0000336,James Coburn,1928,2002
nm0000338,Francis Ford Coppola,1939,
nm0000341,Michael Crichton,1942,2008
nm0000342,James Cromwell,1940,
nm0000343,David Cronenberg,1943,
nm0000344,Denise Crosby,1957,
nm0000345,Billy Crystal,1948,
nm0000346,Macaulay Culkin,1980,
nm0000347,Tim Curry,1946,
nm0000348,Tony Curtis,1925,2010
nm0000349,Joan Cusack,1962,
nm0000350,Beverly D'Angelo,1951,
nm0000352,Vincent D'Onofrio,1959,
