"('mid',)","('pid',)","('name',)"
tt0012349,nm0088471,His Assistant
tt0012349,nm0000122,A Tramp
tt0012349,nm0701012,The Woman
tt0012349,nm0001067,The Child
tt0012349,nm0588033,The Man
tt0012349,nm0042317,Car Thief
tt0012349,nm0042317,Man in Shelter
tt0012349,nm0047800,Bride
tt0012349,nm0048798,Slum Nurse
tt0012349,nm0074788,Professor Guido
tt0012349,nm0074788,Night Shelter Keeper
tt0012349,nm0080930,Orphan Asylum Driver
tt0015864,nm1027682,Eskimo Child
tt0015864,nm0000122,The Lone Prospector
tt0015864,nm0841501,Big Jim McKay
tt0015864,nm0615306,Black Larsen
tt0015864,nm0074788,Hank Curtis
tt0015864,nm0906618,Jack Cameron
tt0015864,nm0354913,Georgia
tt0015864,nm1033900,Man in Dance Hall
tt0017136,nm0375609,Maria
tt0017136,nm0375609,Maschinenmensch
tt0017136,nm0375609,The Machine Man
tt0017136,nm0002154,Johann (Joh) Fredersen
tt0017136,nm0297054,Freder Fredersen - Joh Fredersens Sohn
tt0017136,nm0459030,Erfinder C.A. Rotwang
tt0017136,nm0459030,The Inventor
tt0021749,nm0000122,A Tramp
tt0021749,nm0156039,A Blind Girl
tt0021749,nm5681967,The Blind Girl's Grandmother
tt0021749,nm0616729,An Eccentric Millionaire
tt0022100,nm0000048,Hans Beckert
tt0022100,nm0927145,Frau Beckmann
tt0022100,nm0484737,Elsie Beckmann
tt0022100,nm0921532,Inspector Karl Lohmann
tt0025316,nm0858977,King Westley
tt0025316,nm0000022,Peter Warne
tt0025316,nm0001055,Ellie Andrews
tt0025316,nm0175369,Alexander Andrews
tt0025316,nm0439850,Oscar Shapeley
tt0027977,nm0305087,President of the Electro Steel Corp.
tt0027977,nm0000122,A Factory Worker
tt0027977,nm0002104,A Gamin
tt0027977,nm0074788,Cafe Proprietor
tt0027977,nm0761866,Big Bill
tt0027977,nm0174682,Mechanic
tt0027977,nm0003424,Burglar
tt0027977,nm0090008,Gamin's Father
tt0029583,nm0143314,Snow White
tt0029583,nm0830968,Prince
tt0029583,nm0479164,Queen
tt0029583,nm0479164,Witch
tt0029583,nm0041165,Doc
tt0031381,nm0000022,Rhett Butler - Visitor from Charleston
tt0031381,nm0000046,Scarlett - Their Daughter
tt0031381,nm0593775,Gerald O'Hara
tt0031381,nm0641966,Ellen - His Wife
tt0031679,nm0000071,Jefferson Smith
tt0031679,nm0000795,Saunders
tt0031679,nm0001647,Senator Joseph Paine
tt0031679,nm0036427,Jim Taylor
tt0032138,nm0000023,Dorothy Gale
tt0032138,nm0604656,Professor Marvel
tt0032138,nm0604656,The Gatekeeper
tt0032138,nm0604656,The Carriage Driver
tt0032138,nm0001961,'Hunk'
tt0032138,nm0001961,The Scarecrow
tt0032138,nm0481618,'Zeke'
tt0032138,nm0481618,The Cowardly Lion
tt0032553,nm0354916,Madame Napaloni
tt0032553,nm0000122,Hynkel - Dictator of Tomania
tt0032553,nm0000122,A Jewish Barber
tt0032553,nm0002104,Hannah
tt0032553,nm0642988,Napaloni - Dictator of Bacteria
tt0032553,nm0306786,Schultz
tt0032553,nm0199787,Garbitsch
tt0032553,nm0317970,Herring
tt0032910,nm0427934,Pinocchio
tt0032910,nm0427934,Alexander
tt0032910,nm0747759,Geppetto
tt0032910,nm0000305,Gideon (hiccoughs)
tt0032910,nm0088285,Donkeys
tt0032976,nm0000059,'Maxim' de Winter
tt0032976,nm0000021,Mrs. de Winter
tt0032976,nm0001695,Jack Favell
tt0032976,nm0000752,Mrs. Danvers
tt0033467,nm0000080,Kane
tt0033467,nm0001072,Jedediah Leland
tt0033467,nm0001072,Screening Room Reporter
tt0033467,nm0173827,Susan Alexander Kane
tt0033467,nm0001547,Mary Kane
