"('mid',)","('pid',)"
tt0012349,nm0000122
tt0015864,nm0000122
tt0017136,nm0000485
tt0021749,nm0000122
tt0022100,nm0000485
tt0025316,nm0001008
tt0027977,nm0000122
tt0029583,nm0183183
tt0029583,nm0414144
tt0029583,nm0789313
tt0029583,nm0604392
tt0029583,nm0359457
tt0029583,nm0668998
tt0031381,nm0281808
tt0031381,nm0939992
tt0031381,nm0002030
tt0031679,nm0001008
tt0032138,nm0281808
tt0032138,nm0002030
tt0032138,nm0896542
tt0032138,nm0503777
tt0032138,nm0861703
tt0032138,nm0851537
tt0032553,nm0000122
tt0032910,nm0414144
tt0032910,nm0527217
tt0032910,nm0373429
tt0032910,nm0730860
tt0032910,nm0455741
tt0032910,nm0272568
tt0032910,nm0789313
tt0032976,nm0000033
tt0033467,nm0000080
tt0033563,nm0414144
tt0033563,nm0455741
tt0033563,nm0730860
tt0033563,nm0789313
tt0033563,nm0035899
tt0033563,nm0272568
tt0033563,nm0254675
tt0033870,nm0001379
tt0034492,nm0314671
tt0034492,nm0730860
tt0034492,nm0019282
tt0034492,nm0766402
tt0034492,nm0942687
tt0034492,nm0035899
tt0034492,nm0204190
tt0034492,nm0359457
tt0034492,nm0373871
tt0034583,nm0002031
tt0036775,nm0000697
tt0038650,nm0001008
tt0040522,nm0001120
tt0040746,nm0000033
tt0040897,nm0001379
tt0041959,nm0715346
tt0042192,nm0000581
tt0042332,nm0314671
tt0042332,nm0414144
tt0042332,nm0527217
tt0042876,nm0000041
tt0043014,nm0000697
tt0043274,nm0314671
tt0043274,nm0414144
tt0043274,nm0527217
tt0043274,nm0455741
tt0044079,nm0000033
tt0044081,nm0001415
tt0044706,nm0003593
tt0045152,nm0002045
tt0045152,nm0000037
tt0046183,nm0314671
tt0046183,nm0455741
tt0046183,nm0527217
tt0046183,nm0414144
tt0046250,nm0943758
tt0046912,nm0000033
tt0047296,nm0001415
tt0047396,nm0000033
tt0047478,nm0000041
tt0048280,nm0314671
tt0048280,nm0414144
tt0048280,nm0527217
tt0048280,nm0194018
tt0050083,nm0001486
tt0050212,nm0000180
tt0050825,nm0000040
tt0050976,nm0000005
tt0050986,nm0000005
tt0051201,nm0000697
tt0052311,nm0000080
tt0052357,nm0000033
tt0052618,nm0943758
tt0053125,nm0000033
tt0053198,nm0000076
tt0053285,nm0314671
tt0053285,nm0164203
tt0053285,nm0718627
tt0053285,nm0488981
tt0053285,nm0527217
tt0053291,nm0000697
tt0053604,nm0000697
tt0054215,nm0000033
tt0054331,nm0000040
tt0054698,nm0001175
tt0055254,nm0718627
tt0055254,nm0527217
tt0055254,nm0314671
tt0055614,nm0936404
tt0055614,nm0730385
tt0055630,nm0000041
tt0055928,nm0950109
tt0056172,nm0000180
tt0056592,nm0612322
tt0056801,nm0000019
tt0056869,nm0000033
tt0057012,nm0000040
tt0057076,nm0950109
tt0057115,nm0836328
tt0058150,nm0357891
tt0058331,nm0829038
tt0058461,nm0001466
tt0059578,nm0001466
tt0059742,nm0936404
tt0059800,nm0950109
tt0060196,nm0001466
tt0060827,nm0000005
tt0061418,nm0671957
tt0061512,nm0742341
tt0061722,nm0001566
tt0061852,nm0718627
tt0062512,nm0318150
tt0062622,nm0000040
tt0063350,nm0001681
tt0063442,nm0769874
tt0063522,nm0000591
tt0064115,nm0001351
tt0064116,nm0001466
tt0064276,nm0000454
tt0064665,nm0772259
tt0065421,nm0718627
tt0066206,nm0769874
tt0066921,nm0000040
tt0066995,nm0357891
tt0066999,nm0796923
tt0066999,nm0000142
tt0067116,nm0001243
tt0067992,nm0835799
tt0068473,nm0000958
tt0068646,nm0000338
tt0070034,nm0167195
tt0070047,nm0001243
tt0070328,nm0357891
tt0070379,nm0000217
tt0070511,nm0769874
tt0070608,nm0359457
tt0070608,nm0718627
tt0070666,nm0001486
tt0070735,nm0001351
tt0071230,nm0000316
tt0071315,nm0000591
tt0071360,nm0000338
tt0071562,nm0000338
tt0071807,nm0357891
tt0071853,nm0000416
tt0071853,nm0001402
tt0072271,nm0001361
tt0072431,nm0000316
tt0072684,nm0000040
tt0072890,nm0001486
tt0073195,nm0000229
tt0073486,nm0001232
tt0073629,nm0788940
tt0074119,nm0001587
tt0074285,nm0000361
tt0074486,nm0000186
tt0074958,nm0001486
tt0075005,nm0001149
tt0075148,nm0000814
tt0075314,nm0000217
tt0075686,nm0000095
tt0075860,nm0000229
tt0076752,nm0318150
tt0076759,nm0000184
tt0077402,nm0001681
tt0077416,nm0001047
tt0077631,nm0459170
tt0077651,nm0000118
tt0077975,nm0000484
tt0078346,nm0001149
tt0078748,nm0000631
tt0078788,nm0000338
tt0079116,nm0796923
tt0079417,nm0000914
tt0079470,nm0001402
tt0079501,nm0004306
tt0079522,nm0000095
tt0079817,nm0000230
tt0079944,nm0001789
tt0080120,nm0001353
tt0080339,nm0001878
tt0080339,nm0958387
tt0080339,nm0000720
tt0080455,nm0000484
tt0080487,nm0000601
tt0080678,nm0000186
tt0080684,nm0449984
tt0080761,nm0192446
tt0081398,nm0000217
tt0081505,nm0000040
tt0081573,nm0504513
tt0081573,nm0001149
tt0082010,nm0000484
tt0082096,nm0000583
tt0082198,nm0587518
tt0082340,nm0000118
tt0082694,nm0004306
tt0082971,nm0000229
tt0083658,nm0000631
tt0083866,nm0000229
tt0083907,nm0000600
tt0083929,nm0002132
tt0083944,nm0467646
tt0083987,nm0000277
tt0084516,nm0001361
tt0084602,nm0000230
tt0084726,nm0583292
tt0084787,nm0000118
tt0084805,nm0001628
tt0084827,nm0513974
tt0085334,nm0163706
tt0085959,nm0000416
tt0085959,nm0001402
tt0085995,nm0000601
tt0086034,nm0322515
tt0086190,nm0549658
tt0086250,nm0000361
tt0086465,nm0000484
tt0086879,nm0001232
tt0086960,nm0000976
tt0087182,nm0000186
tt0087332,nm0718645
tt0087363,nm0001102
tt0087469,nm0000229
tt0087538,nm0000814
tt0087544,nm0594503
tt0087800,nm0000127
tt0087843,nm0001466
tt0087884,nm0000694
tt0087928,nm0933505
tt0088128,nm0000455
tt0088247,nm0000116
tt0088258,nm0001661
tt0088323,nm0000583
tt0088763,nm0000709
tt0088846,nm0000416
tt0088847,nm0000455
tt0088944,nm0504495
tt0089218,nm0001149
tt0089530,nm0004306
tt0089530,nm0644695
tt0089880,nm0181902
tt0089881,nm0000041
tt0089927,nm0000230
tt0090555,nm0265363
tt0090605,nm0000116
tt0090728,nm0000118
tt0090756,nm0000186
tt0091042,nm0000455
tt0091064,nm0000343
tt0091203,nm0611683
tt0091369,nm0001345
tt0091605,nm0000269
tt0091763,nm0000231
tt0092005,nm0001661
tt0092067,nm0594503
tt0092099,nm0001716
tt0092644,nm0001716
tt0092890,nm0001915
tt0092965,nm0000229
tt0092991,nm0000600
tt0093058,nm0000040
tt0093105,nm0001469
tt0093177,nm0000850
tt0093389,nm0000934
tt0093409,nm0001149
tt0093437,nm0001708
tt0093748,nm0000455
tt0093773,nm0001532
tt0093779,nm0001661
tt0093822,nm0001053
tt0093822,nm0001054
tt0093870,nm0000682
tt0093894,nm0001274
tt0094012,nm0000316
tt0094226,nm0000361
tt0094291,nm0000231
tt0094625,nm0960028
tt0094721,nm0000318
tt0094737,nm0001508
tt0094898,nm0000484
tt0095016,nm0001532
tt0095159,nm0187769
tt0095159,nm0000092
tt0095327,nm0847223
tt0095705,nm0001878
tt0095765,nm0868153
tt0095953,nm0001469
tt0095956,nm0003423
tt0096256,nm0000118
tt0096283,nm0594503
tt0096320,nm0718645
tt0096438,nm0000709
tt0096446,nm0000165
tt0096754,nm0000116
tt0096874,nm0000709
tt0096895,nm0000318
tt0096928,nm0378893
tt0096969,nm0000231
tt0097165,nm0001837
tt0097239,nm0000915
tt0097351,nm0004675
tt0097428,nm0718645
tt0097441,nm0001880
tt0097523,nm0002653
tt0097576,nm0000229
tt0097733,nm0001149
tt0097742,nm0322515
tt0097757,nm0615780
tt0097757,nm0166256
tt0097814,nm0594503
tt0097958,nm0154819
tt0098084,nm0005116
tt0098439,nm0464846
tt0098439,nm0536299
tt0098635,nm0001661
tt0099077,nm0001508
tt0099088,nm0000709
tt0099348,nm0000126
tt0099423,nm0001317
tt0099487,nm0000318
tt0099653,nm0958387
tt0099674,nm0000338
tt0099685,nm0000217
tt0099700,nm0001102
tt0099700,nm0005062
tt0099785,nm0001060
tt0099810,nm0001532
tt0099871,nm0001490
tt0099938,nm0718645
tt0100150,nm0001054
tt0100150,nm0001053
tt0100157,nm0001661
tt0100403,nm0394280
tt0100405,nm0005190
tt0100507,nm0000814
tt0100802,nm0000682
tt0100814,nm0881038
tt0101272,nm0001756
tt0101410,nm0001054
tt0101410,nm0001053
tt0101414,nm0873779
tt0101414,nm0936374
tt0101507,nm0005436
tt0101540,nm0000217
tt0102057,nm0000229
tt0102059,nm0000720
tt0102138,nm0000231
tt0102266,nm0001716
tt0102510,nm0001878
tt0102685,nm0000941
tt0102798,nm0721817
tt0102926,nm0001129
tt0103064,nm0000116
tt0103074,nm0000631
tt0103639,nm0615780
tt0103639,nm0166256
tt0103644,nm0000399
tt0103772,nm0000682
tt0103776,nm0000318
tt0103855,nm0413875
tt0103874,nm0000338
tt0104070,nm0000709
tt0104257,nm0001661
tt0104348,nm0001226
tt0104431,nm0001060
tt0104691,nm0000520
tt0104694,nm0001508
tt0104714,nm0001149
tt0104952,nm0528718
tt0105112,nm0637518
tt0105236,nm0000233
tt0105323,nm0000976
tt0105695,nm0000142
tt0105793,nm0790715
tt0106308,nm0000600
tt0106489,nm0000134
tt0106519,nm0000361
tt0106582,nm0001317
tt0106611,nm0005509
tt0106677,nm0000500
tt0106697,nm0104193
tt0106856,nm0001708
tt0106918,nm0001628
tt0106977,nm0001112
tt0107048,nm0000601
tt0107120,nm0650905
tt0107206,nm0000583
tt0107207,nm0006487
tt0107290,nm0000229
tt0107362,nm0001532
tt0107614,nm0001060
tt0107688,nm0783139
tt0107818,nm0001129
tt0107977,nm0000316
tt0108052,nm0000229
tt0108160,nm0001188
tt0108358,nm0181902
tt0108358,nm0418883
tt0108399,nm0001716
tt0108550,nm0002120
tt0109040,nm0001723
tt0109445,nm0003620
tt0109506,nm0001639
tt0109686,nm0125803
tt0109686,nm0268380
tt0109707,nm0000318
tt0109830,nm0000709
tt0109831,nm0001565
tt0110148,nm0001403
tt0110322,nm0001880
tt0110357,nm0021249
tt0110357,nm0591450
tt0110413,nm0000108
tt0110475,nm0751080
tt0110478,nm0001149
tt0110622,nm0781842
tt0110632,nm0000231
tt0110912,nm0000233
tt0111070,nm0664756
tt0111161,nm0001104
tt0111257,nm0000957
tt0111282,nm0000386
tt0111495,nm0001425
tt0111503,nm0000116
tt0112281,nm0644203
tt0112384,nm0000165
tt0112431,nm0003088
tt0112442,nm0000881
tt0112461,nm0436284
tt0112462,nm0001708
tt0112471,nm0000500
tt0112508,nm0205542
tt0112573,nm0000154
tt0112641,nm0000217
tt0112642,nm0797869
tt0112697,nm0002132
tt0112740,nm0001716
tt0112851,nm0001675
tt0112864,nm0001532
tt0113101,nm0734319
tt0113101,nm0005062
tt0113101,nm0025978
tt0113101,nm0000233
tt0113101,nm0001675
tt0113118,nm0336620
tt0113189,nm0132709
tt0113247,nm0440913
tt0113277,nm0000520
tt0113492,nm0134176
tt0113497,nm0002653
tt0113568,nm0651900
tt0113627,nm0001214
tt0113749,nm0003620
tt0113855,nm0027271
tt0114069,nm0000583
tt0114148,nm0300265
tt0114148,nm0325196
tt0114369,nm0000399
tt0114388,nm0000487
tt0114709,nm0005124
tt0114746,nm0000416
tt0114814,nm0001741
tt0114898,nm0721817
tt0114924,nm0005509
tt0115433,nm0378893
tt0115798,nm0001774
tt0116209,nm0005237
tt0116213,nm0751080
tt0116282,nm0001053
tt0116282,nm0001054
tt0116367,nm0001675
tt0116483,nm0240797
tt0116583,nm0873779
tt0116583,nm0936374
tt0116629,nm0000386
tt0116695,nm0001081
tt0116705,nm0505152
tt0116922,nm0000186
tt0116996,nm0000318
tt0117008,nm0000362
tt0117060,nm0000361
tt0117218,nm0001723
tt0117381,nm0387706
tt0117438,nm0000165
tt0117500,nm0000881
tt0117509,nm0525303
tt0117571,nm0000127
tt0117665,nm0001469
tt0117705,nm0701592
tt0117731,nm0000408
tt0117913,nm0001708
tt0117951,nm0000965
tt0117998,nm0000957
tt0118571,nm0000583
