"('mid',)","('genre',)"
tt0012349,Comedy
tt0012349,Drama
tt0012349,Family
tt0015864,Adventure
tt0015864,Comedy
tt0015864,Drama
tt0017136,Drama
tt0017136,Sci-Fi
tt0021749,Comedy
tt0021749,Drama
tt0021749,Romance
tt0022100,Crime
tt0022100,Mystery
tt0022100,Thriller
tt0025316,Comedy
tt0025316,Romance
tt0027977,Comedy
tt0027977,Drama
tt0027977,Romance
tt0029583,Adventure
tt0029583,Animation
tt0029583,Family
tt0031381,Drama
tt0031381,History
tt0031381,Romance
tt0031679,Comedy
tt0031679,Drama
tt0032138,Adventure
tt0032138,Family
tt0032138,Fantasy
tt0032553,Comedy
tt0032553,Drama
tt0032553,War
tt0032910,Adventure
tt0032910,Animation
tt0032910,Comedy
tt0032976,Drama
tt0032976,Film-Noir
tt0032976,Mystery
tt0033467,Drama
tt0033467,Mystery
tt0033563,Adventure
tt0033563,Animation
tt0033563,Drama
tt0033870,Crime
tt0033870,Film-Noir
tt0033870,Mystery
tt0034492,Adventure
tt0034492,Animation
tt0034492,Drama
tt0034583,Drama
tt0034583,Romance
tt0034583,War
tt0036775,Crime
tt0036775,Drama
tt0036775,Film-Noir
tt0038650,Drama
tt0038650,Family
tt0038650,Fantasy
tt0040522,Drama
tt0040746,Crime
tt0040746,Drama
tt0040746,Mystery
tt0040897,Adventure
tt0040897,Drama
tt0040897,Western
tt0041959,Film-Noir
tt0041959,Mystery
tt0041959,Thriller
tt0042192,Drama
tt0042332,Animation
tt0042332,Family
tt0042332,Fantasy
tt0042876,Crime
tt0042876,Drama
tt0042876,Mystery
tt0043014,Drama
tt0043014,Film-Noir
tt0043274,Adventure
tt0043274,Animation
tt0043274,Comedy
tt0044079,Crime
tt0044079,Drama
tt0044079,Film-Noir
tt0044081,Drama
tt0044706,Drama
tt0044706,Thriller
tt0044706,Western
tt0045152,Comedy
tt0045152,Musical
tt0045152,Romance
tt0046183,Adventure
tt0046183,Animation
tt0046183,Family
tt0046250,Comedy
tt0046250,Romance
tt0046912,Crime
tt0046912,Thriller
tt0047296,Crime
tt0047296,Drama
tt0047296,Thriller
tt0047396,Mystery
tt0047396,Thriller
tt0047478,Action
tt0047478,Drama
tt0048280,Adventure
tt0048280,Animation
tt0048280,Comedy
tt0050083,Crime
tt0050083,Drama
tt0050212,Adventure
tt0050212,Drama
tt0050212,War
tt0050825,Drama
tt0050825,War
tt0050976,Drama
tt0050976,Fantasy
tt0050976,History
tt0050986,Drama
tt0050986,Romance
tt0051201,Crime
tt0051201,Drama
tt0051201,Mystery
tt0052311,Crime
tt0052311,Drama
tt0052311,Film-Noir
tt0052357,Mystery
tt0052357,Romance
tt0052357,Thriller
tt0052618,Adventure
tt0052618,Drama
tt0052618,History
tt0053125,Adventure
tt0053125,Mystery
tt0053125,Thriller
tt0053198,Crime
tt0053198,Drama
tt0053285,Adventure
tt0053285,Animation
tt0053285,Family
tt0053291,Comedy
tt0053291,Music
tt0053291,Romance
tt0053604,Comedy
tt0053604,Drama
tt0053604,Romance
tt0054215,Horror
tt0054215,Mystery
tt0054215,Thriller
tt0054331,Adventure
tt0054331,Biography
tt0054331,Drama
tt0054698,Comedy
tt0054698,Drama
tt0054698,Romance
tt0055254,Adventure
tt0055254,Animation
tt0055254,Comedy
tt0055614,Crime
tt0055614,Drama
tt0055614,Musical
tt0055630,Action
tt0055630,Drama
tt0055630,Thriller
tt0055928,Action
tt0055928,Adventure
tt0055928,Thriller
tt0056172,Adventure
tt0056172,Biography
tt0056172,Drama
tt0056592,Crime
tt0056592,Drama
tt0056801,Drama
tt0056869,Drama
tt0056869,Horror
tt0056869,Mystery
tt0057012,Comedy
tt0057012,War
tt0057076,Action
tt0057076,Adventure
tt0057076,Thriller
tt0057115,Adventure
tt0057115,Drama
tt0057115,History
tt0058150,Action
tt0058150,Adventure
tt0058150,Thriller
tt0058331,Comedy
tt0058331,Family
tt0058331,Fantasy
tt0058461,Action
tt0058461,Drama
tt0058461,Western
tt0059578,Western
tt0059742,Biography
tt0059742,Drama
tt0059742,Family
tt0059800,Action
tt0059800,Adventure
tt0059800,Thriller
tt0060196,Adventure
tt0060196,Western
