"('pid',)","('mid',)"
nm0000004,tt0080455
nm0000004,tt0077975
nm0000005,tt0060827
nm0000005,tt0050986
nm0000006,tt0034583
nm0000007,tt0034583
nm0000008,tt0068646
nm0000008,tt0047296
nm0000008,tt0078788
nm0000011,tt0044706
nm0000012,tt0042192
nm0000016,tt0096320
nm0000016,tt0091763
nm0000017,tt0051201
nm0000017,tt0052311
nm0000018,tt0054331
nm0000019,tt0056801
nm0000020,tt0050083
nm0000021,tt0032976
nm0000022,tt0025316
nm0000022,tt0031381
nm0000023,tt0032138
nm0000025,tt0119488
nm0000025,tt0120762
nm0000025,tt0117731
nm0000026,tt0053125
nm0000027,tt0076759
nm0000027,tt0050212
nm0000030,tt0054698
nm0000030,tt0046250
nm0000032,tt0052618
nm0000032,tt0063442
nm0000033,tt0052357
nm0000033,tt0056869
nm0000033,tt0054215
nm0000033,tt0053125
nm0000034,tt0043014
nm0000034,tt0074958
nm0000035,tt0120746
nm0000035,tt0499549
nm0000035,tt0120338
nm0000037,tt0045152
nm0000038,tt0047396
nm0000038,tt0046912
nm0000040,tt0062622
nm0000040,tt0066921
nm0000040,tt0072684
nm0000040,tt0093058
nm0000041,tt0089881
nm0000045,tt0070034
nm0000046,tt0044081
nm0000046,tt0031381
nm0000048,tt0033870
nm0000048,tt0034583
nm0000048,tt0022100
nm0000049,tt0054698
nm0000051,tt0053125
nm0000052,tt0056801
nm0000054,tt0053291
nm0000055,tt0042192
nm0000056,tt0257044
nm0000056,tt0061512
nm0000059,tt0032976
nm0000060,tt0046250
nm0000060,tt0056592
nm0000061,tt0051201
nm0000063,tt0056172
nm0000064,tt0036775
nm0000065,tt0056801
nm0000065,tt0068646
nm0000065,tt0071562
nm0000067,tt0036775
nm0000067,tt0052618
nm0000070,tt0031381
nm0000070,tt0040897
nm0000070,tt0034583
nm0000071,tt0031679
nm0000071,tt0052357
nm0000076,tt0075860
nm0000076,tt0053198
nm0000077,tt0032976
nm0000077,tt0043014
nm0000080,tt0052311
nm0000080,tt0033467
nm0000081,tt0055614
nm0000084,tt0430357
nm0000084,tt0397535
nm0000090,tt0765443
nm0000092,tt0085959
nm0000092,tt0095159
nm0000092,tt0071853
nm0000093,tt1210166
nm0000093,tt2935510
nm0000093,tt0356910
nm0000093,tt0114746
nm0000095,tt0079522
nm0000095,tt0075686
nm0000096,tt0455590
nm0000097,tt0306047
nm0000097,tt0267913
nm0000098,tt1723121
nm0000099,tt0108399
nm0000099,tt1065073
nm0000100,tt1634122
nm0000100,tt0110357
nm0000100,tt0118689
nm0000100,tt0274166
nm0000101,tt0087332
nm0000101,tt0097428
nm0000101,tt0080455
nm0000102,tt0164052
nm0000102,tt0327056
nm0000103,tt0181875
nm0000103,tt0120586
nm0000104,tt0112851
nm0000104,tt0120657
nm0000104,tt0120746
nm0000104,tt1189073
nm0000106,tt0160127
nm0000106,tt0343660
nm0000107,tt0119488
nm0000107,tt0096895
nm0000108,tt0119116
nm0000108,tt0110413
nm0000108,tt2872732
nm0000110,tt3402236
nm0000111,tt0091042
nm0000112,tt0143145
nm0000112,tt0795421
nm0000112,tt0120347
nm0000113,tt1454468
nm0000113,tt1041829
nm0000113,tt0212346
nm0000113,tt0111257
nm0000114,tt0162346
nm0000114,tt0105236
nm0000114,tt0116282
nm0000115,tt0113627
nm0000115,tt0435705
nm0000115,tt0119094
nm0000115,tt0117500
nm0000116,tt0499549
nm0000116,tt0103064
nm0000116,tt0120338
nm0000116,tt0090605
nm0000117,tt0120082
nm0000117,tt0120890
nm0000117,tt0117571
nm0000117,tt0134084
nm0000118,tt0077651
nm0000118,tt0082340
nm0000118,tt0096256
nm0000119,tt0111503
nm0000119,tt0105793
nm0000119,tt0275847
nm0000120,tt0109040
nm0000120,tt0338013
nm0000120,tt0315327
nm0000120,tt0110475
nm0000121,tt0083929
nm0000121,tt0087363
nm0000122,tt0032553
nm0000122,tt0027977
nm0000123,tt0465538
nm0000123,tt1124035
nm0000123,tt1193138
nm0000124,tt0180093
nm0000124,tt0268978
nm0000125,tt0055928
nm0000125,tt0117500
nm0000125,tt0094226
nm0000125,tt0059800
nm0000126,tt0102798
nm0000126,tt0099348
nm0000126,tt0103855
nm0000127,tt0087800
nm0000127,tt0117571
nm0000128,tt0172495
