"('mid',)","('titleType',)","('primaryTitle',)","('originalTitle',)","('isAdult',)","('startYear',)","('endYear',)","('runtimeMinutes',)"
tt0012349,movie,The Kid,The Kid,0,1921,,68
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,,95
tt0017136,movie,Metropolis,Metropolis,0,1927,,153
tt0021749,movie,City Lights,City Lights,0,1931,,87
tt0022100,movie,M,M - Eine Stadt sucht einen Mörder,0,1931,,117
tt0025316,movie,It Happened One Night,It Happened One Night,0,1934,,105
tt0027977,movie,Modern Times,Modern Times,0,1936,,87
tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,,83
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,,238
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,,129
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,,102
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,,125
tt0032910,movie,Pinocchio,Pinocchio,0,1940,,88
tt0032976,movie,Rebecca,Rebecca,0,1940,,130
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,,119
tt0033563,movie,Dumbo,Dumbo,0,1941,,64
tt0033870,movie,The Maltese Falcon,The Maltese Falcon,0,1941,,100
tt0034492,movie,Bambi,Bambi,0,1942,,70
tt0034583,movie,Casablanca,Casablanca,0,1942,,102
tt0036775,movie,Double Indemnity,Double Indemnity,0,1944,,107
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,0,1946,,130
tt0040522,movie,Bicycle Thieves,Ladri di biciclette,0,1948,,89
tt0040746,movie,Rope,Rope,0,1948,,80
tt0040897,movie,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,0,1948,,126
tt0041959,movie,The Third Man,The Third Man,0,1949,,104
tt0042192,movie,All About Eve,All About Eve,0,1950,,138
tt0042332,movie,Cinderella,Cinderella,0,1950,,74
tt0042876,movie,Rashomon,Rashômon,0,1950,,88
tt0043014,movie,Sunset Blvd.,Sunset Blvd.,0,1950,,110
tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0,1951,,75
tt0044079,movie,Strangers on a Train,Strangers on a Train,0,1951,,101
tt0044081,movie,A Streetcar Named Desire,A Streetcar Named Desire,0,1951,,122
tt0044706,movie,High Noon,High Noon,0,1952,,85
