"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0012349,10,nm0088471,actor,
tt0012349,1,nm0000122,actor,
tt0012349,2,nm0701012,actress,
tt0012349,3,nm0001067,actor,
tt0012349,4,nm0588033,actor,
tt0012349,5,nm0042317,actor,
tt0012349,6,nm0047800,actress,
tt0012349,7,nm0048798,actress,
tt0012349,8,nm0074788,actor,
tt0012349,9,nm0080930,actor,
tt0015864,10,nm1027682,actor,
tt0015864,1,nm0000122,actor,
tt0015864,2,nm0841501,actor,
tt0015864,3,nm0615306,actor,
tt0015864,4,nm0074788,actor,
tt0015864,5,nm0675356,composer,
tt0015864,6,nm0005906,cinematographer,
tt0015864,7,nm0906618,actor,
tt0015864,8,nm0354913,actress,
tt0015864,9,nm1033900,actor,
tt0017136,10,nm0403288,composer,
tt0017136,1,nm0375609,actress,
tt0017136,2,nm0002154,actor,
tt0017136,3,nm0297054,actor,
tt0017136,4,nm0459030,actor,
tt0017136,5,nm0000485,director,
tt0017136,6,nm0902376,writer,screenplay
tt0017136,7,nm0690143,producer,producer
tt0017136,8,nm0923118,composer,
tt0017136,9,nm2111404,composer,
tt0021749,1,nm0000122,actor,
tt0021749,2,nm0156039,actress,
tt0021749,3,nm5681967,actress,
tt0021749,4,nm0616729,actor,
tt0021749,5,nm0139714,writer,
tt0021749,6,nm0188357,writer,
tt0021749,7,nm0689661,cinematographer,
tt0021749,8,nm0005906,cinematographer,
tt0022100,1,nm0000048,actor,
tt0022100,2,nm0927145,actress,
tt0022100,3,nm0484737,actress,
tt0022100,4,nm0921532,actor,
tt0022100,5,nm0000485,director,
tt0022100,6,nm0902376,writer,script
tt0022100,7,nm0414825,writer,article
tt0022100,8,nm0005922,cinematographer,
tt0022100,9,nm0266239,editor,
tt0025316,10,nm0858977,actor,
tt0025316,1,nm0000022,actor,
tt0025316,2,nm0001055,actress,
tt0025316,3,nm0175369,actor,
tt0025316,4,nm0439850,actor,
tt0025316,5,nm0001008,director,
tt0025316,6,nm0728307,writer,screen play
tt0025316,7,nm0011343,writer,based on the short story by
tt0025316,8,nm0907900,cinematographer,
tt0025316,9,nm0369879,editor,film editor
tt0027977,10,nm0305087,actor,
tt0027977,1,nm0000122,actor,
tt0027977,2,nm0002104,actress,
tt0027977,3,nm0074788,actor,
tt0027977,4,nm0761866,actor,
tt0027977,5,nm0005806,cinematographer,
tt0027977,6,nm0005906,cinematographer,
tt0027977,7,nm0174682,actor,
tt0027977,8,nm0003424,actor,
tt0027977,9,nm0090008,actor,
tt0029583,10,nm0789313,director,sequence director
tt0029583,1,nm0143314,actress,
tt0029583,2,nm0830968,actor,
