"('mid',)","('pid',)"
tt0012349,nm0000122
tt0015864,nm0000122
tt0017136,nm0902376
tt0017136,nm0000485
tt0021749,nm0000122
tt0021749,nm0139714
tt0021749,nm0188357
tt0022100,nm0902376
tt0022100,nm0000485
tt0022100,nm0414825
tt0025316,nm0728307
tt0025316,nm0011343
tt0027977,nm0000122
tt0029583,nm0342278
tt0029583,nm0342303
tt0029583,nm0780799
tt0029583,nm0187232
tt0029583,nm0257481
tt0029583,nm0725439
tt0029583,nm0403319
tt0029583,nm0210112
tt0029583,nm0087490
tt0029583,nm0810324
tt0031381,nm0593565
tt0031381,nm0397608
tt0031381,nm0308177
tt0031381,nm0372942
tt0031381,nm0842485
tt0031381,nm0886668
tt0031679,nm0118227
tt0031679,nm0287931
tt0031679,nm0175333
tt0032138,nm0486538
tt0032138,nm0753249
tt0032138,nm0941138
tt0032138,nm0000875
tt0032138,nm0006085
tt0032138,nm0106505
tt0032138,nm0134284
tt0032138,nm0276252
tt0032138,nm0355095
tt0032138,nm0361971
tt0032138,nm0388755
tt0032138,nm0481618
tt0032138,nm0536941
tt0032138,nm0542534
tt0032138,nm0591774
tt0032138,nm0621790
tt0032138,nm0685265
tt0032138,nm0780833
tt0032138,nm0799015
tt0032553,nm0000122
tt0032910,nm0172830
tt0032910,nm0780799
tt0032910,nm0257481
tt0032910,nm0810324
tt0032910,nm0183183
tt0032910,nm0754836
tt0032910,nm0672093
tt0032910,nm0061284
tt0032910,nm0670328
tt0032910,nm0850895
tt0032976,nm0238898
tt0032976,nm0792845
tt0032976,nm0365661
tt0032976,nm0531878
tt0032976,nm0389580
tt0033467,nm0542534
tt0033467,nm0000080
tt0033467,nm0002144
tt0033467,nm0219670
tt0033467,nm0448809
tt0033563,nm0335469
tt0033563,nm0400056
tt0033563,nm0257481
tt0033563,nm0670328
tt0033563,nm0061284
tt0033563,nm0727370
tt0033563,nm0821707
tt0033563,nm0810324
tt0033563,nm0008673
tt0033563,nm2927785
tt0033870,nm0001379
tt0033870,nm0358591
tt0034492,nm0759041
tt0034492,nm0668998
tt0034492,nm0604392
tt0034492,nm0821707
tt0034492,nm0789873
tt0034492,nm0266338
tt0034492,nm0183231
tt0034492,nm0942723
tt0034583,nm0258493
tt0034583,nm0258525
tt0034583,nm0462321
tt0034583,nm0122417
tt0034583,nm0019706
tt0034583,nm0732452
tt0036775,nm0000697
tt0036775,nm0151452
tt0036775,nm0128906
tt0038650,nm0329304
tt0038650,nm0352443
tt0038650,nm0001008
tt0038650,nm0842485
tt0038650,nm0827821
tt0038650,nm0933858
tt0040522,nm0953790
tt0040522,nm0059030
tt0040522,nm0080755
tt0040522,nm0147599
tt0040522,nm0001120
tt0040522,nm0290000
tt0040522,nm0315657
tt0040522,nm0346291
tt0040746,nm0002025
tt0040746,nm0358096
tt0040746,nm0491306
tt0040746,nm0372942
tt0040897,nm0001379
tt0040897,nm0871252
tt0041959,nm0001294
tt0041959,nm0000080
tt0041959,nm0466099
tt0041959,nm0715346
tt0042192,nm0000581
tt0042192,nm0650581
tt0042332,nm0674518
tt0042332,nm0670328
tt0042332,nm0672093
tt0042332,nm0780799
tt0042332,nm0382548
tt0042332,nm0109205
tt0042332,nm0716206
tt0042332,nm0027011
tt0042332,nm0727370
tt0042332,nm0710683
tt0042332,nm0850895
tt0042876,nm0015611
tt0042876,nm0000041
tt0042876,nm0368074
tt0043014,nm0102818
tt0043014,nm0000697
tt0043014,nm0551261
tt0043274,nm0140902
tt0043274,nm0382548
tt0043274,nm0780799
tt0043274,nm0670328
tt0043274,nm0672093
tt0043274,nm0727370
tt0043274,nm0052520
tt0043274,nm0183183
tt0043274,nm0447039
tt0043274,nm0335469
tt0043274,nm0400056
tt0043274,nm0174974
tt0043274,nm0649603
tt0043274,nm0906929
tt0043274,nm0404717
tt0044079,nm0151452
tt0044079,nm0650262
tt0044079,nm0177336
tt0044079,nm0383604
tt0044079,nm0372942
tt0044081,nm0931783
tt0044081,nm0766665
tt0044706,nm0286025
tt0044706,nm0192356
tt0045152,nm0173679
tt0045152,nm0337582
tt0046183,nm0057381
tt0046183,nm0780799
tt0046183,nm0672093
tt0046183,nm0670328
tt0046183,nm0382548
tt0046183,nm0727370
tt0046183,nm0052520
tt0046183,nm0942723
tt0046183,nm0183183
tt0046183,nm0159767
tt0046250,nm0874308
tt0046250,nm0402848
tt0046250,nm0226538
tt0046912,nm0461425
tt0047296,nm0775977
tt0047296,nm0425711
tt0047296,nm0802563
tt0047396,nm0371088
tt0047396,nm0941280
tt0047478,nm0000041
tt0047478,nm0368074
tt0047478,nm0644823
tt0048280,nm0338950
tt0048280,nm0672093
tt0048280,nm0727370
tt0048280,nm0942723
tt0048280,nm0196119
tt0048280,nm0159767
tt0048280,nm0335469
tt0048280,nm0400056
tt0048280,nm0689679
tt0048280,nm0850895
tt0048280,nm3085481
tt0050083,nm0741627
tt0050212,nm0099541
tt0050212,nm0286025
tt0050212,nm0933858
tt0050825,nm0000040
tt0050825,nm0932229
tt0050825,nm0860292
tt0050825,nm0167767
tt0050976,nm0000005
tt0050986,nm0000005
tt0051201,nm0002005
tt0051201,nm0000697
tt0051201,nm0475823
tt0051201,nm0546140
tt0052311,nm0000080
tt0052311,nm0557767
tt0052311,nm0168759
tt0052311,nm0597574
tt0052357,nm0178785
tt0052357,nm0853138
tt0052357,nm0092267
tt0052357,nm0092268
tt0052357,nm0027173
tt0052618,nm0908753
tt0052618,nm0876562
tt0052618,nm0000683
tt0052618,nm0027173
tt0052618,nm0067103
tt0052618,nm0296737
tt0053125,nm0499626
tt0053198,nm0000076
tt0053198,nm0610115
tt0053285,nm0672093
tt0053285,nm0674518
tt0053285,nm0727370
tt0053285,nm0382548
tt0053285,nm0670328
tt0053285,nm0780799
tt0053285,nm0942723
tt0053285,nm0052520
tt0053291,nm0000697
tt0053291,nm0224634
tt0053291,nm0858329
tt0053291,nm0517615
tt0053604,nm0000697
tt0053604,nm0224634
tt0054215,nm0825010
tt0054215,nm0088645
tt0054331,nm0874308
tt0054331,nm0268779
tt0054331,nm0001811
tt0054331,nm0932229
tt0054331,nm1306202
tt0054698,nm0001986
tt0054698,nm0043480
tt0055254,nm0670328
tt0055254,nm0807977
tt0055614,nm0499626
tt0055614,nm0491306
tt0055614,nm0730385
tt0055614,nm0000636
tt0055630,nm0000041
tt0055630,nm0452878
tt0055928,nm0537363
tt0055928,nm0367820
tt0055928,nm0558435
tt0055928,nm0001220
tt0055928,nm0542554
tt0055928,nm0950109
tt0056172,nm0493042
tt0056172,nm0004122
tt0056172,nm0933858
tt0056592,nm0497369
tt0056592,nm0285210
tt0056801,nm0000019
tt0056801,nm0280919
tt0056801,nm0684083
tt0056801,nm0740021
tt0056869,nm0238898
tt0056869,nm0402805
tt0057012,nm0000040
tt0057012,nm0816143
tt0057012,nm0313570
tt0057076,nm0537363
tt0057076,nm0367820
tt0057076,nm0001220
tt0057076,nm0558435
tt0057115,nm0108595
tt0057115,nm0165412
tt0057115,nm0122446
tt0058150,nm0537363
tt0058150,nm0214989
tt0058150,nm0001220
tt0058150,nm0367820
tt0058150,nm0558435
tt0058331,nm0909556
tt0058331,nm0196119
tt0058331,nm0871308
tt0058461,nm0093501
tt0058461,nm8800791
tt0058461,nm0146033
tt0058461,nm0001466
tt0058461,nm0173549
tt0058461,nm0000041
tt0058461,nm0223964
tt0058461,nm0452878
tt0058461,nm0856319
tt0058461,nm0884547
tt0059578,nm0001466
tt0059578,nm0607694
tt0059578,nm0898812
tt0059578,nm0006872
tt0059578,nm0217258
tt0059578,nm0223964
tt0059742,nm0403346
tt0059742,nm0512231
tt0059742,nm0189496
tt0059742,nm0499626
tt0059742,nm0903125
tt0059800,nm0537363
tt0059800,nm0394200
tt0059800,nm0926525
tt0059800,nm0565886
tt0059800,nm0001220
tt0060196,nm0898812
tt0060196,nm0001466
tt0060196,nm0408488
tt0060196,nm0769249
tt0060827,nm0000005
tt0061418,nm0628058
tt0061418,nm0000914
tt0061418,nm0001801
tt0061512,nm0668914
tt0061512,nm0682757
tt0061512,nm0237543
tt0061722,nm0932229
tt0061722,nm0377750
tt0061722,nm0916047
tt0061852,nm0166307
tt0061852,nm0942723
tt0061852,nm0027011
tt0061852,nm0314788
tt0061852,nm0456017
tt0061852,nm0670328
tt0062512,nm0089169
tt0062512,nm0001094
tt0062512,nm0001220
tt0062512,nm0420845
tt0062622,nm0000040
tt0062622,nm0002009
tt0063350,nm0751652
tt0063350,nm0001681
tt0063442,nm0933858
tt0063442,nm0785245
tt0063442,nm0099541
tt0063442,nm0445934
tt0063522,nm0505615
tt0063522,nm0000591
tt0064115,nm0001279
tt0064116,nm0006872
tt0064116,nm0001466
tt0064116,nm0000783
tt0064116,nm0000934
tt0064276,nm0001228
tt0064276,nm0000454
tt0064276,nm0816143
tt0064665,nm0759029
tt0064665,nm0379052
tt0065421,nm0166307
tt0065421,nm0314788
tt0065421,nm0027011
tt0065421,nm0858826
tt0065421,nm0166551
tt0065421,nm0841035
tt0065421,nm0942723
tt0065421,nm0569712
tt0065421,nm1318202
tt0066206,nm0000338
tt0066206,nm0636002
tt0066206,nm0267018
tt0066206,nm0103357
tt0066921,nm0000040
tt0066921,nm0121256
tt0066995,nm0537363
tt0066995,nm0542539
tt0066995,nm0001220
tt0066999,nm0277807
tt0066999,nm0277849
tt0066999,nm0718466
tt0066999,nm0000517
tt0066999,nm0374268
tt0066999,nm0587518
tt0067116,nm0862781
tt0067116,nm0601811
tt0067992,nm0001094
tt0067992,nm0783544
tt0068473,nm0225463
tt0068473,nm0000958
tt0068646,nm0701374
tt0068646,nm0000338
tt0070034,nm0021363
tt0070034,nm0000045
tt0070047,nm0087861
tt0070328,nm0542539
tt0070328,nm0001220
tt0070379,nm0000217
tt0070379,nm0552731
tt0070511,nm0874308
tt0070511,nm0783913
tt0070511,nm0153508
tt0070511,nm0001279
tt0070608,nm0166307
tt0070608,nm0027011
tt0070608,nm0314788
tt0070608,nm0858826
tt0070608,nm0166551
tt0070608,nm0841035
tt0070608,nm0585150
tt0070666,nm0530995
tt0070666,nm0759029
tt0070666,nm0923319
tt0070735,nm0911486
tt0071230,nm0000316
tt0071230,nm0825799
tt0071230,nm0000921
tt0071230,nm0001640
tt0071230,nm0880078
tt0071315,nm0001801
tt0071315,nm0000591
tt0071360,nm0000338
tt0071562,nm0000338
tt0071562,nm0701374
tt0071807,nm0537363
tt0071807,nm0542539
tt0071807,nm0001220
tt0071853,nm0001037
tt0071853,nm0000092
tt0071853,nm0001385
tt0071853,nm0000416
tt0071853,nm0001402
tt0071853,nm0001589
tt0071853,nm0540627
tt0072271,nm0377066
tt0072271,nm0001361
tt0072431,nm0000698
tt0072431,nm0000316
tt0072431,nm0791217
tt0072684,nm0000040
tt0072684,nm0856842
tt0072890,nm0682757
tt0072890,nm0460190
tt0072890,nm0601944
tt0072890,nm0909063
tt0073195,nm0001940
tt0073195,nm0331956
tt0073486,nm0369142
tt0073486,nm0325743
tt0073486,nm0450181
tt0073486,nm0913670
tt0073629,nm0639782
tt0073629,nm0788940
tt0074119,nm0077012
tt0074119,nm0940124
tt0074119,nm0001279
tt0074285,nm0000175
tt0074285,nm0169548
tt0074486,nm0000186
tt0074958,nm0154665
tt0075005,nm0783544
tt0075148,nm0000230
tt0075314,nm0001707
tt0075686,nm0000095
tt0075686,nm0108613
tt0075860,nm0000229
tt0075860,nm0059493
tt0075860,nm0069547
tt0075860,nm0384398
tt0075860,nm0730422
tt0076752,nm0228970
tt0076752,nm0537363
tt0076752,nm0001220
tt0076759,nm0000184
tt0077402,nm0001681
tt0077416,nm0001047
tt0077416,nm0913346
tt0077416,nm0307311
tt0077416,nm0714793
tt0077631,nm0414448
tt0077631,nm0143558
tt0077631,nm0940125
tt0077631,nm0139591
tt0077651,nm0000118
tt0077651,nm0384185
tt0077975,nm0000601
tt0077975,nm0448469
tt0077975,nm0588082
tt0078346,nm0796950
tt0078346,nm0795975
tt0078346,nm0701374
tt0078346,nm0628058
tt0078346,nm0628174
tt0078346,nm0000914
tt0078346,nm0542539
tt0078748,nm0639321
tt0078748,nm0795953
tt0078788,nm0587518
tt0078788,nm0000338
tt0078788,nm0380282
tt0078788,nm0175676
tt0079116,nm0115431
tt0079116,nm0876227
tt0079417,nm0180011
tt0079417,nm0000914
